"Arnt2",339,117,62,386,123,140,158,186,16,139,320,17,376,133,79
"Arpc1a",705,174,263,628,159,249,250,372,26,322,585,41,520,364,151
"Arpc1b",126,34,44,101,31,29,35,21,4,31,139,5,83,41,33
"Arpc2",347,168,235,485,133,232,238,301,25,207,500,24,370,278,181
"Arpc3",3587,908,1106,3130,696,1062,1500,1340,200,1508,3754,202,2644,1705,1012
"Arpc4",1611,862,516,1717,550,869,962,876,135,849,2068,119,1401,1002,701
"Arpc5",253,40,30,182,47,117,68,125,18,75,238,16,198,82,43
"Arpc5l",532.469,199.767,123.738,502.887,150.029,201.511,197.236,244.546,21.935,258.382,587.66,44.432,422.656,272.817,179.721
"Arpp19",682,316,306.469,929,208,331,454,412,57,422,725,58,670,436,253
"Arpp21",476,118,117,570,192,128,308,260.999,34,264,482.999,34,392,368,135
"Arrb1",1035.689,327.809,335.559,810.24,287.189,407.295,451.179,425.056,68.478,366.933,772.163,43.158,870.715,586.362,393.228
"Arrb2",193,61,64,159,41,79,115,82,18,109,232,6,159,86,62
"Arrdc1",70,22,20,43,35,23,16,46,9,21,72,6,26,28,52
"Arse",137.04,16.003,51.005,101,36,56.005,85.019,54.031,9,53.001,155.016,9.006,194.082,65.002,59.002
"Arv1",82,48,54,101,25,40,47,43,7,27,57,2,56,55,24
"Asap1",897.702,136.215,169.261,611.797,244.344,148.195,292.189,194.336,38.855,229.838,644.013,51.523,657.219,262.174,131.157
"Asb1",344,144,128,344,62,108,157,219,22,228,317,18,339,175,113
"Asb8",116,38,58,129,47,50,63,87,17,84,175,18,88,85,41
"Ascc1",63,32,47,46,12,71,40,45,7,70,95,2,62,54,44
"Asic1",271.15,165.018,144.005,298.181,95.724,107,189.002,96.912,21.003,166.857,400.777,21,211.161,178.906,192.049
"Asns",126.432,21.5,35.75,234.449,44.512,40.546,63.584,79.17,9.286,61.225,226.115,15.472,104.835,95.025,32.261
"Asph",506.623,267,248,565.769,182.354,258,338,294,41,320,597.095,38.991,566.968,382,191
"Asphd1",201,108,63,218,86,106,151,89,11,106,281,12,229,93,92
"Asphd2",333,103,169,287,95,133,164,108,16,144,350,14,201,271,109
"Asrgl1",957.605,310.328,216.115,805.355,219.601,239.896,410.658,311.3,55.291,385.141,775.708,52.512,632.989,364.92,286.196
"Ass1",129,67,54,170,22,28,70,68,7,69,153,12,158,30,40
"Atad1",266,105,87,255,40,103,116,135,17,133,236,24,125,119,99
"Atad3a",63,22,45,52,16,40,48,14,1,38,53,11,13,47,35
"Atat1",164,79,84,161,46,65,83,85,5,83,112,3,89,51,68
"Atcay",142,112,41,260,36,57,164,102,8,111,216,16,225,131,88
"Atf4",1773,822,898,2091,607,1031,1039,948,136,998,2298,124,1543,1505,796
"Atf5",1299,464,737,1275,386,644,672,682,131,774,1705,72,1182,834,720
"Atf6b",334,131,119,377,93,110,174,169,24,197,328,13,276,175,100
"Atf7ip",528,115,149,203,91,152,235,143,29,185,460,17,295,230,118
"Atg101",423,196,209,522,188,293,220,225,39,252,623,29,399,343,204
"Atg12",412,134,99,332,113,156,126,153,23,163,369,15,244,215,145
"Atg16l1",274,55,69,209,65,96,161,114,13,93,298,22,270,93,95
"Atg4b",177,90,42,97,71,57,87,68,9,72,125,10,117,111,40
"Atg4d",69.898,13,20.871,85.055,22.999,18.603,33.391,29.681,4,55.464,62.619,3,63.998,62.135,13.442
"Atg9a",448,196,172,438,101,115,177,175,34,146,361,21,433,257,226
"Atic",251,101,92,303,84,86,138,153,17,156,274,16,235,161,79
"Atl1",49.345,53.337,81,114.218,53.241,47.564,87,125,2,44,219.825,7,120.106,107.757,37.014
"Atox1",205,104,71,150,46,110,71,64,15,95,187,4,115,99,54
"Atp13a2",158.012,105,113.001,198.009,61.011,114.993,141.003,105.005,13,110.002,181.003,16,120.02,203.001,95.01
"Atp1a1",6116,2017,2148,7817,2265,1950,2802,3629,340,3926,7370,364,5535,4823,1563
"Atp1a2",1536.937,785.775,793,2016.112,661.021,617.03,1128.646,1043.835,130,1056,1758.39,101,2013.107,1094.041,562.022
"Atp1a3",1449,282,257,1028,434,215,646,580,71,502,1011,61,1092,660,304
